DATE,NAV
09-Mar-16,31.92300
10-Mar-16,31.94260
11-Mar-16,31.94970
14-Mar-16,32.03060
15-Mar-16,32.04620
16-Mar-16,32.08880
17-Mar-16,32.18090
18-Mar-16,32.20270
21-Mar-16,32.28300
22-Mar-16,32.31760
23-Mar-16,32.35410
28-Mar-16,32.41750
29-Mar-16,32.40670
30-Mar-16,32.44180
31-Mar-16,32.50850
04-Apr-16,32.60410
05-Apr-16,32.57280
06-Apr-16,32.63700
07-Apr-16,32.66960
11-Apr-16,32.78690
12-Apr-16,32.80580
13-Apr-16,32.73490
18-Apr-16,32.81130
20-Apr-16,32.79450
21-Apr-16,32.70940
22-Apr-16,32.76580
25-Apr-16,32.75230
26-Apr-16,32.76000
27-Apr-16,32.77310
28-Apr-16,32.80260
29-Apr-16,32.84140
02-May-16,32.85160
03-May-16,32.83420
04-May-16,32.86010
05-May-16,32.85820
06-May-16,32.87730
09-May-16,32.92520
10-May-16,32.93160
11-May-16,32.93620
12-May-16,32.96040
13-May-16,32.94010
16-May-16,32.95020
17-May-16,32.95170
18-May-16,32.91550
19-May-16,32.93240
20-May-16,32.92680
23-May-16,32.96720
24-May-16,32.96370
25-May-16,32.96660
26-May-16,32.96290
27-May-16,32.96910
30-May-16,32.99950
31-May-16,32.99570
01-Jun-16,32.97200
02-Jun-16,32.99120
03-Jun-16,32.99730
06-Jun-16,33.04300
07-Jun-16,33.03390
08-Jun-16,33.03150
09-Jun-16,33.04840
10-Jun-16,33.04760
13-Jun-16,33.01420
14-Jun-16,33.04530
15-Jun-16,33.05920
16-Jun-16,33.08370
17-Jun-16,33.09680
20-Jun-16,33.11230
21-Jun-16,33.12650
22-Jun-16,33.15590
23-Jun-16,33.17020
24-Jun-16,33.17590
27-Jun-16,33.24910
28-Jun-16,33.27940
29-Jun-16,33.31810
30-Jun-16,33.32080
01-Jul-16,33.38790
04-Jul-16,33.40340
05-Jul-16,33.49180
07-Jul-16,33.53420
08-Jul-16,33.57300
11-Jul-16,33.60460
12-Jul-16,33.71300
13-Jul-16,33.83080
14-Jul-16,33.84020
15-Jul-16,33.87770
18-Jul-16,33.86010
19-Jul-16,33.95040
20-Jul-16,34.01920
21-Jul-16,34.08330
22-Jul-16,34.10570
25-Jul-16,34.14430
26-Jul-16,34.15610
27-Jul-16,34.16310
28-Jul-16,34.40740
29-Jul-16,34.48330
01-Aug-16,34.59560
02-Aug-16,34.51780
03-Aug-16,34.45120
04-Aug-16,34.52340
05-Aug-16,34.54630
08-Aug-16,34.57990
09-Aug-16,34.73070
10-Aug-16,34.83060
11-Aug-16,34.90890
12-Aug-16,34.88460
16-Aug-16,34.88600
18-Aug-16,34.77750
19-Aug-16,34.88630
22-Aug-16,34.75430
23-Aug-16,34.77830
24-Aug-16,34.84750
25-Aug-16,34.89630
26-Aug-16,34.90620
29-Aug-16,34.96850
30-Aug-16,34.99910
31-Aug-16,34.99960
01-Sep-16,34.98470
02-Sep-16,34.97360
06-Sep-16,35.04050
07-Sep-16,35.15090
08-Sep-16,35.16680
09-Sep-16,35.14660
12-Sep-16,35.09210
14-Sep-16,35.09770
15-Sep-16,35.12330
16-Sep-16,35.16280
19-Sep-16,35.17620
20-Sep-16,35.14090
21-Sep-16,35.20770
22-Sep-16,35.37140
23-Sep-16,35.41380
26-Sep-16,35.55190
27-Sep-16,35.60950
28-Sep-16,35.66660
29-Sep-16,35.41690
30-Sep-16,35.53520
03-Oct-16,35.69270
04-Oct-16,35.78460
05-Oct-16,35.92110
06-Oct-16,35.86460
07-Oct-16,35.78530
10-Oct-16,35.86910
13-Oct-16,35.84250
14-Oct-16,35.78650
17-Oct-16,35.81770
18-Oct-16,35.89260
19-Oct-16,35.87330
20-Oct-16,35.83480
21-Oct-16,35.84500
24-Oct-16,35.85800
25-Oct-16,35.83720
26-Oct-16,35.84840
27-Oct-16,35.80890
28-Oct-16,35.81670
01-Nov-16,35.77570
02-Nov-16,35.79320
03-Nov-16,35.78460
04-Nov-16,35.74230
07-Nov-16,35.76740
08-Nov-16,35.85490
09-Nov-16,36.15080
10-Nov-16,36.23270
11-Nov-16,36.0849
15-Nov-16,36.6054
16-Nov-16,36.8639
17-Nov-16,36.9276
18-Nov-16,36.8869
21-Nov-16,37.3564
22-Nov-16,37.4566
23-Nov-16,37.661
24-Nov-16,37.9791
25-Nov-16,37.8577
28-Nov-16,37.6409
29-Nov-16,37.5948
30-Nov-16,37.7794
01-Dec-16,37.8439
02-Dec-16,37.7932
05-Dec-16,37.8551
06-Dec-16,37.8837
07-Dec-16,37.3831
08-Dec-16,37.3512
09-Dec-16,37.2604
13-Dec-16,37.3229
14-Dec-16,37.3589
15-Dec-16,37.0983
16-Dec-16,37.109
19-Dec-16,37.1222
20-Dec-16,37.1552
21-Dec-16,37.1862
22-Dec-16,37.0736
23-Dec-16,37.0187
26-Dec-16,36.9493
27-Dec-16,36.9391
28-Dec-16,36.9624
29-Dec-16,37.1097
30-Dec-16,37.1513
02-Jan-17,37.4188
03-Jan-17,37.3251
04-Jan-17,37.4421
05-Jan-17,37.4157
06-Jan-17,37.4157
09-Jan-17,37.4238
10-Jan-17,37.4239
11-Jan-17,37.4375
12-Jan-17,37.503
13-Jan-17,37.4083
16-Jan-17,37.3796
17-Jan-17,37.4313
18-Jan-17,37.3777
19-Jan-17,37.3395
20-Jan-17,37.3673
23-Jan-17,37.4082
24-Jan-17,37.444
25-Jan-17,37.4773
27-Jan-17,37.5413
30-Jan-17,37.5363
31-Jan-17,37.5444
01-Feb-17,37.5339
02-Feb-17,37.5833
03-Feb-17,37.5761
06-Feb-17,37.5736
07-Feb-17,37.5444
08-Feb-17,36.9467
09-Feb-17,36.757
10-Feb-17,36.832
13-Feb-17,36.8177
14-Feb-17,36.7641
15-Feb-17,36.789
16-Feb-17,36.8228
17-Feb-17,36.8201
20-Feb-17,36.7698
22-Feb-17,36.7376
23-Feb-17,36.7761
27-Feb-17,36.8418
28-Feb-17,36.8614
01-Mar-17,36.8025
02-Mar-17,36.8501
03-Mar-17,36.8599
06-Mar-17,36.8264
07-Mar-17,36.8199
08-Mar-17,36.8263
09-Mar-17,36.83
10-Mar-17,36.8121
14-Mar-17,36.8469
15-Mar-17,36.9146
16-Mar-17,36.9377
17-Mar-17,36.9395
20-Mar-17,36.9463
21-Mar-17,36.9835
22-Mar-17,37.154
23-Mar-17,37.2503
24-Mar-17,37.3132
27-Mar-17,37.536
29-Mar-17,37.5031
30-Mar-17,37.5086
31-Mar-17,37.5096
03-Apr-17,37.5206
05-Apr-17,37.5153
06-Apr-17,37.3042
07-Apr-17,37.2154
10-Apr-17,37.2239
11-Apr-17,37.356
12-Apr-17,37.425
13-Apr-17,37.4759
17-Apr-17,37.4876
18-Apr-17,37.5134
